Open Time,Open,High,Low,Close,Volume,Number of Trades,Taker Buy Base,Taker_Avg_Cost,fundingRate
2022-01-01 00:00:00,46210.57,46944.56,46210.55,46789.56,24921.42,250048.0,12498.91,46685.66,1e-04
2022-01-01 04:00:00,46789.55,47566.66,46605.0,47186.83,34840.02,336846.0,17871.344,47093.01,1e-04
2022-01-01 08:00:00,47186.83,47338.0,46700.09,46755.01,29421.287,307536.0,14048.192,47023.375,1e-04
2022-01-01 12:00:00,46755.01,47488.64,46755.01,47194.78,28293.73,303405.0,14319.742,47091.152,1e-04
2022-01-01 16:00:00,47194.77,47943.77,47157.59,47326.98,38466.496,401014.0,18932.078,47526.52,1e-04
2022-01-01 20:00:00,47326.99,47813.43,47202.47,47704.35,23490.633,224249.0,12315.954,47440.105,1e-04
2022-01-02 00:00:00,47704.35,47745.61,47263.28,47330.75,20840.182,215373.0,10111.92,47461.44,1e-04
2022-01-02 04:00:00,47330.76,47418.65,46749.99,47171.04,31316.56,277253.0,15556.002,47065.164,1e-04
2022-01-02 08:00:00,47171.39,47500.0,46963.66,47231.3,22208.406,224360.0,11330.558,47258.086,1e-04
2022-01-02 12:00:00,47231.29,47453.05,47002.47,47329.68,26792.14,286792.0,13299.728,47193.066,1e-04
2022-01-02 16:00:00,47329.68,48000.0,46605.68,46908.29,63863.45,612290.0,31787.998,47301.46,1e-04
2022-01-02 20:00:00,46908.66,47469.46,46815.75,47280.0,19774.355,229176.0,9895.106,47163.848,1e-04
2022-01-03 00:00:00,47280.01,47288.28,46717.26,46802.86,26291.88,249217.0,12469.723,47000.59,1e-04
2022-01-03 04:00:00,46802.86,47217.37,46750.0,47041.11,21333.244,208103.0,10732.745,46962.33,1e-04
2022-01-03 08:00:00,47042.77,47436.26,46777.0,47364.11,33235.58,329937.0,16932.414,47106.16,1e-04
2022-01-03 12:00:00,47364.11,47575.22,46560.0,46689.99,57712.062,531466.0,27313.35,47072.516,1e-04
2022-01-03 16:00:00,46689.99,46800.0,46260.4,46364.55,49363.79,486296.0,24209.809,46528.816,1e-04
2022-01-03 20:00:00,46364.56,46579.28,45665.4,46445.81,56845.234,562699.0,27395.217,46091.44,1e-04
2022-01-04 00:00:00,46445.8,46550.0,45931.61,46313.95,30816.389,306592.0,15074.662,46234.29,1e-04
