Open Time,Open,High,Low,Close,Volume,Number of Trades,Taker Buy Base,Taker_Avg_Cost,fundingRate
2022-01-01 00:00:00,146.19,149.74,146.08,147.7,190340.5,64506.0,98301.01,148.28146,1e-04
2022-01-01 04:00:00,147.71,149.26,146.66,147.97,147641.9,47514.0,73823.11,147.7764,1e-04
2022-01-01 08:00:00,147.95,148.71,146.66,147.4,128267.88,43659.0,62696.395,147.7627,1e-04
2022-01-01 12:00:00,147.42,150.12,147.41,149.17,177055.34,57037.0,91002.48,148.60678,1e-04
2022-01-01 16:00:00,149.21,150.98,148.98,149.83,140563.31,56507.0,69142.49,150.09293,1e-04
2022-01-01 20:00:00,149.83,150.93,149.33,150.74,117339.57,40662.0,60345.1,150.06113,1e-04
2022-01-02 00:00:00,150.73,150.9,149.28,150.21,134210.58,44524.0,66360.77,150.0797,1e-04
2022-01-02 04:00:00,150.21,150.39,147.82,149.31,154219.75,48949.0,73113.125,148.9912,1e-04
2022-01-02 08:00:00,149.31,150.6,148.63,149.42,119423.72,45264.0,57297.336,149.6841,1e-04
2022-01-02 12:00:00,149.42,151.8,148.7,151.33,173822.6,55598.0,82997.734,150.19936,1e-04
2022-01-02 16:00:00,151.32,153.35,149.86,151.21,287929.12,79929.0,140247.14,151.68236,1e-04
2022-01-02 20:00:00,151.2,151.84,150.38,151.13,111067.52,39995.0,54115.844,151.14862,1e-04
2022-01-03 00:00:00,151.15,151.17,149.16,149.56,153804.12,43435.0,77670.03,150.18373,1e-04
2022-01-03 04:00:00,149.56,151.07,149.43,150.13,110813.98,35021.0,55205.504,150.11151,1e-04
2022-01-03 08:00:00,150.13,151.18,149.0,150.76,174359.31,50616.0,84326.64,150.17058,1e-04
2022-01-03 12:00:00,150.76,151.2,148.17,148.78,303385.53,78501.0,140507.31,150.14702,1e-04
2022-01-03 16:00:00,148.79,149.24,147.14,147.91,262316.88,68101.0,122650.875,148.25903,1e-04
2022-01-03 20:00:00,147.91,148.91,145.95,148.43,249684.97,70776.0,117591.28,147.31242,1e-04
2022-01-04 00:00:00,148.44,148.74,146.31,147.63,167058.94,49559.0,77141.48,147.51083,1e-04
2022-01-04 04:00:00,147.61,148.84,147.0,148.75,143128.5,40301.0,74097.805,148.01627,1e-04
2022-01-04 08:00:00,148.77,150.42,148.42,150.01,231609.02,58385.0,110605.0,149.3734,1e-04
2022-01-04 12:00:00,150.03,151.58,148.8,150.37,262431.94,64714.0,125591.43,150.39445,1e-04
2022-01-04 16:00:00,150.38,150.89,145.07,147.29,379114.3,96802.0,182497.12,148.04778,1e-04
2022-01-04 20:00:00,147.3,148.29,146.0,146.45,137267.83,42419.0,64985.89,147.25284,1e-04
2022-01-05 00:00:00,146.45,148.83,145.86,148.55,140284.3,42347.0,67705.77,147.5876,1e-04
2022-01-05 04:00:00,148.55,148.75,147.56,148.5,98341.91,29736.0,47825.824,148.25444,1e-04
2022-01-05 08:00:00,148.52,150.0,147.28,147.96,188273.42,50795.0,85579.65,148.72034,1e-04
2022-01-05 12:00:00,147.96,149.89,146.71,149.13,261407.83,62814.0,128949.87,148.47757,1e-04
2022-01-05 16:00:00,149.12,149.34,142.24,142.54,462112.1,104443.0,214870.16,146.20047,1e-04
2022-01-05 20:00:00,142.52,143.07,129.5,135.21,1143755.9,251042.0,514022.25,137.27263,1e-04
2022-01-06 00:00:00,135.22,137.62,133.73,133.87,455272.1,110163.0,219775.66,135.55894,1e-04
2022-01-06 04:00:00,133.87,137.64,133.07,136.63,507333.94,104502.0,253841.55,135.47583,1e-04
2022-01-06 08:00:00,136.64,136.78,132.57,134.16,417934.6,88471.0,204411.78,134.5003,6.87e-05
2022-01-06 12:00:00,134.12,135.68,132.36,135.07,408394.03,87347.0,198684.1,134.28365,6.87e-05
2022-01-06 16:00:00,135.09,138.05,134.5,137.12,254004.5,60824.0,130578.11,136.39786,1e-04
2022-01-06 20:00:00,137.18,137.67,135.84,135.88,166266.48,46484.0,79177.77,136.6476,1e-04
2022-01-07 00:00:00,135.86,136.46,129.7,130.62,417816.38,104027.0,188557.1,133.32413,1e-04
2022-01-07 04:00:00,130.65,131.36,125.64,130.14,708865.94,139823.0,354920.38,128.9181,1e-04
2022-01-07 08:00:00,130.14,135.18,129.62,133.24,471972.16,100772.0,247073.77,132.75327,1e-04
2022-01-07 12:00:00,133.25,135.14,128.36,131.06,675650.9,125663.0,324487.78,132.03117,1e-04
2022-01-07 16:00:00,131.03,135.56,129.63,133.43,443233.03,84068.0,230373.11,132.92229,8.625e-05
2022-01-07 20:00:00,133.43,133.94,129.8,131.36,184537.55,51056.0,95640.984,131.75589,8.625e-05
2022-01-08 00:00:00,131.36,133.65,130.78,132.16,181208.86,48896.0,86727.37,132.19038,1e-04
2022-01-08 04:00:00,132.2,133.05,131.66,132.86,126337.88,36120.0,60158.285,132.54085,1e-04
2022-01-08 08:00:00,132.86,134.68,132.36,134.28,244248.94,58777.0,117300.67,133.4712,1e-04
2022-01-08 12:00:00,134.29,134.73,130.31,131.16,341365.75,73024.0,158357.33,132.67569,1e-04
2022-01-08 16:00:00,131.14,131.98,124.69,127.03,701183.75,159504.0,344474.47,128.00433,1e-04
2022-01-08 20:00:00,127.05,131.63,126.0,129.4,299857.72,68254.0,145560.92,129.10257,1e-04
2022-01-09 00:00:00,129.4,131.62,128.54,130.5,259883.19,52922.0,127248.23,130.2969,8.676e-05
2022-01-09 04:00:00,130.47,131.3,129.65,130.11,160303.97,40046.0,80477.016,130.47632,8.676e-05
2022-01-09 08:00:00,130.09,130.93,128.53,130.25,211363.67,50780.0,103038.65,129.75502,1e-04
2022-01-09 12:00:00,130.24,130.55,127.61,129.15,214688.89,55614.0,105830.49,129.098,1e-04
2022-01-09 16:00:00,129.12,132.5,128.73,132.22,256491.17,58660.0,127475.555,130.91364,1e-04
2022-01-09 20:00:00,132.22,132.47,130.44,130.86,160721.52,42002.0,75462.07,131.69879,1e-04
2022-01-10 00:00:00,130.86,131.48,129.36,129.99,198346.62,45114.0,101677.66,130.29012,1e-04
2022-01-10 04:00:00,129.97,131.02,129.86,130.8,124712.984,39225.0,61791.04,130.537,1e-04
2022-01-10 08:00:00,130.79,130.99,128.79,129.25,202870.17,54198.0,98229.42,129.90639,1e-04
2022-01-10 12:00:00,129.24,129.39,120.5,124.32,986931.1,200844.0,472728.38,124.5744,1e-04
2022-01-10 16:00:00,124.36,128.2,122.47,124.69,713309.7,128426.0,352017.3,125.37238,6.487e-05
2022-01-10 20:00:00,124.69,126.99,124.13,126.41,224364.47,54663.0,111030.555,126.03748,6.487e-05
2022-01-11 00:00:00,126.43,129.7,125.69,129.18,247658.78,61658.0,131390.47,127.800865,2.323e-05
2022-01-11 04:00:00,129.19,129.5,128.1,129.0,140731.58,36927.0,71629.24,128.80534,2.323e-05
2022-01-11 08:00:00,129.01,130.3,127.41,128.03,245711.48,58319.0,120461.766,128.58228,1e-04
2022-01-11 12:00:00,128.02,129.78,126.69,129.19,303778.2,65118.0,149316.05,128.32472,1e-04
2022-01-11 16:00:00,129.18,133.49,129.01,131.49,461015.53,100240.0,219729.58,131.46796,1e-04
2022-01-11 20:00:00,131.49,132.2,130.81,131.52,135931.38,39703.0,69978.695,131.38896,1e-04
2022-01-12 00:00:00,131.53,132.3,130.83,131.39,147004.14,37110.0,72575.83,131.41577,2.042e-05
2022-01-12 04:00:00,131.39,132.67,130.86,131.76,159221.8,43562.0,77959.91,131.62056,2.042e-05
2022-01-12 08:00:00,131.76,134.97,131.51,133.68,249585.64,67060.0,127130.68,132.96217,1e-04
2022-01-12 12:00:00,133.69,138.2,133.5,137.26,360861.28,106137.0,176820.8,136.21626,1e-04
2022-01-12 16:00:00,137.28,142.16,136.22,140.56,357427.25,106748.0,183036.23,139.13988,2.149e-05
2022-01-12 20:00:00,140.58,142.05,139.84,141.89,251269.86,66479.0,118265.266,140.976,2.149e-05
2022-01-13 00:00:00,141.89,142.26,138.64,139.52,221951.61,65547.0,107676.62,140.11955,1e-04
2022-01-13 04:00:00,139.53,140.23,139.28,139.73,122801.75,43520.0,59867.316,139.87115,1e-04
2022-01-13 08:00:00,139.73,141.07,136.59,137.18,362458.66,89481.0,169874.97,139.02087,1e-04
2022-01-13 12:00:00,137.17,140.94,135.45,136.67,424682.6,112425.0,202599.86,138.14926,1e-04
2022-01-13 16:00:00,136.67,137.58,134.47,135.81,318336.47,85561.0,148449.94,136.07066,1e-04
2022-01-13 20:00:00,135.82,137.4,134.71,136.69,239035.25,58273.0,113219.73,136.02849,1e-04
2022-01-14 00:00:00,136.64,139.82,135.67,138.13,305887.9,75518.0,149293.14,138.22583,1e-04
2022-01-14 04:00:00,138.14,140.0,137.63,138.73,225407.61,50870.0,110882.02,138.90805,1e-04
2022-01-14 08:00:00,138.74,138.83,135.96,138.54,389825.34,88240.0,194374.84,137.62212,1e-04
2022-01-14 12:00:00,138.51,146.44,137.21,144.69,1217686.8,238245.0,593450.6,143.18019,1e-04
2022-01-14 16:00:00,144.69,145.12,143.14,144.51,363366.56,80748.0,179033.44,144.12729,1e-04
2022-01-14 20:00:00,144.51,145.49,143.74,144.7,198961.53,53857.0,95308.27,144.70865,1e-04
2022-01-15 00:00:00,144.71,148.59,143.96,147.13,404572.34,107869.0,195924.56,146.8707,1e-04
2022-01-15 04:00:00,147.13,150.94,146.47,150.16,434112.53,96033.0,222523.42,148.50464,1e-04
2022-01-15 08:00:00,150.16,150.22,147.36,148.05,333768.72,78962.0,162643.81,148.48502,-6.8e-07
